id, TFT, TEC
0,2307.142822,3155.670898
1,2307.142822,3155.670898
2,2307.142822,3155.670898
3,2307.142822,3155.670898
4,2307.142822,3155.670898
5,2307.142822,3155.670898
6,2307.142822,3155.670898
7,2307.142822,3155.670898
8,2307.142822,3155.670898
9,2307.142822,3155.670898
10,2307.142822,3155.670898
11,2307.142822,3155.670898
12,2307.142822,3155.670898
13,2307.142822,3155.670898
14,2307.142822,3155.670898
15,2307.142822,3155.670898
16,2307.142822,3155.670898
17,2307.142822,3155.670898
18,2307.142822,3155.670898
19,2307.142822,3155.670898
20,2307.142822,3155.670898
21,2307.142822,3155.670898
22,2307.142822,3155.670898
23,2307.142822,3155.670898
24,2307.142822,3155.670898
25,2307.142822,3155.670898
26,2307.142822,3155.670898
27,2307.142822,3155.670898
28,2307.142822,3155.670898
29,2307.142822,3155.670898
30,2307.142822,3155.670898
31,2307.142822,3155.670898
32,2307.142822,3155.670898
33,2307.142822,3155.670898
34,2307.142822,3155.670898
35,2307.142822,3155.670898
36,2307.142822,3155.670898
37,2307.142822,3155.670898
38,2307.142822,3155.670898
39,2307.142822,3155.670898
40,2307.142822,3155.670898
41,2307.142822,3155.670898
42,2307.142822,3155.670898
43,2307.142822,3155.670898
44,2307.142822,3155.670898
45,2307.142822,3155.670898
46,2307.142822,3155.670898
47,2307.142822,3155.670898
48,2307.142822,3155.670898
49,2307.142822,3155.670898
50,2307.142822,3155.670898
51,2307.142822,3155.670898
52,2307.142822,3155.670898
53,2307.142822,3155.670898
54,2307.142822,3155.670898
55,2307.142822,3155.670898
56,2307.142822,3155.670898
57,2307.142822,3155.670898
58,2307.142822,3155.670898
59,2307.142822,3155.670898
60,2307.142822,3155.670898
61,2307.142822,3155.670898
62,2307.142822,3155.670898
63,2307.142822,3155.670898
64,2307.142822,3155.670898
65,2307.142822,3155.670898
66,2307.142822,3155.670898
67,2307.142822,3155.670898
68,2307.142822,3155.670898
69,2307.142822,3155.670898
70,2307.142822,3155.670898
71,2307.142822,3155.670898
72,2307.142822,3155.670898
73,2307.142822,3155.670898
74,2307.142822,3155.670898
75,2307.142822,3155.670898
76,2307.142822,3155.670898
77,2307.142822,3155.670898
78,2307.142822,3155.670898
79,2307.142822,3155.670898
80,2307.142822,3155.670898
81,2307.142822,3155.670898
82,2307.142822,3155.670898
83,2307.142822,3155.670898
84,2307.142822,3155.670898
85,2307.142822,3155.670898
86,2307.142822,3155.670898
87,2307.142822,3155.670898
88,2307.142822,3155.670898
89,2307.142822,3155.670898
90,2307.142822,3155.670898
91,2307.142822,3155.670898
92,2307.142822,3155.670898
93,2307.142822,3155.670898
94,2307.142822,3155.670898
95,2307.142822,3155.670898
96,2307.142822,3155.670898
97,2307.142822,3155.670898
98,2307.142822,3155.670898
99,2307.142822,3155.670898
