id, TFT, TEC
0,2307.142822,21451.519531,13
1,3604.117432,16287.817383,619376
2,3843.553711,18333.619141,0
3,3815.813965,17775.332031,0
4,4365.386719,17204.457031,0
5,3971.326172,17906.878906,0
6,3924.168701,17324.257812,0
7,4322.374023,17295.998047,0
8,4171.785645,18215.390625,0
9,4401.119141,18003.464844,0
10,4366.392578,16728.599609,0
11,3661.315186,18049.054688,0
12,4222.139648,17588.478516,0
13,3984.692871,16559.314453,0
14,4092.429199,18843.675781,0
15,4548.442383,17449.691406,0
16,4344.250977,17984.515625,0
17,4126.282227,17874.853516,0
18,3872.988770,18194.292969,0
19,4234.385254,17221.371094,0
20,4263.195801,17967.673828,0
21,4754.657227,18315.910156,0
22,4468.507324,17177.712891,0
23,4331.144043,16762.392578,0
24,4192.344727,17528.164062,0
25,3761.043701,16726.136719,0
26,4011.689453,17127.003906,0
27,4683.687012,17972.410156,0
28,4093.540039,17541.908203,0
29,3921.061523,17542.765625,0
30,3638.208252,17130.968750,0
31,4514.058594,17559.949219,0
32,4327.274414,16810.687500,0
33,4579.073730,16165.130859,846480
34,4113.840820,17492.197266,0
35,4488.665039,17247.396484,0
36,4411.084473,16997.195312,0
37,4070.350586,16359.705078,0
38,4322.629883,16573.537109,0
39,4842.695312,17473.652344,0
40,5106.628906,17488.460938,0
41,4171.098633,18093.367188,0
42,4402.372070,17056.042969,0
43,4020.392090,16365.363281,0
44,4249.426758,17585.300781,0
45,4735.005859,17207.046875,0
46,4681.541016,17097.339844,0
47,3925.554688,17105.083984,0
48,4238.362793,16848.000000,0
49,4781.667480,17647.460938,0
50,4645.126953,16236.547852,0
51,4586.560059,17679.146484,0
52,4263.162109,18005.332031,0
53,3855.423340,18380.076172,0
54,4380.984863,17590.828125,0
55,4375.242188,18368.550781,0
56,4078.182129,17489.421875,0
57,4514.541016,17904.628906,0
58,3628.176758,16701.466797,0
59,4362.699707,17083.326172,0
60,5198.042969,17177.519531,0
61,3915.033447,16759.410156,0
62,4295.931152,17018.066406,0
63,4404.820801,17222.195312,0
64,4195.933105,18446.246094,0
65,4134.437988,17119.339844,846480
66,4687.139648,17891.332031,0
67,4471.998047,15790.071289,0
68,3873.835449,16886.501953,0
69,3872.350342,17176.734375,0
70,4658.306641,18055.339844,0
71,4013.579590,18041.781250,0
72,4403.397461,17374.951172,0
73,3484.956055,17936.816406,0
74,4300.472168,17734.353516,0
75,4086.478516,17716.082031,0
76,4348.387207,17278.429688,0
77,4343.003418,17896.625000,0
78,4361.885742,16665.783203,0
79,4367.329102,16516.787109,0
80,4221.201172,16765.345703,0
81,4223.495117,17210.738281,0
82,4020.765625,17297.148438,0
83,4023.419434,17701.167969,0
84,4503.606934,17987.808594,0
85,4310.578125,17226.160156,0
86,4407.753906,18349.300781,0
87,4195.075684,17275.720703,0
88,3775.052002,18012.791016,0
89,4394.746094,16909.328125,0
90,4213.303223,18055.937500,0
91,4714.494141,17943.750000,0
92,3843.270508,18011.703125,0
93,3950.728027,16681.919922,0
94,3782.337891,17297.738281,0
95,4061.765137,16877.285156,0
96,4077.586914,17691.851562,0
97,4496.344727,16438.447266,0
98,4116.320312,17093.812500,0
99,4208.931152,17906.195312,0
100,3832.428711,16861.322266,0
101,4337.818359,17683.761719,0
